student_id,gpa_score,empathy_score,self_awareness,social_skills,open_response
S001,3.8,4.2,4.0,3.9,"I felt motivated and curious throughout the term and worked through challenges calmly."
S002,2.9,3.0,2.8,3.1,"I was overwhelmed and anxious during midterms and struggled to stay focused."
S003,3.5,3.8,3.6,3.7,"I felt grateful for study groups and that helped me stay confident before exams."
S004,3.1,3.2,3.0,3.4,"There were frustrating weeks but I tried to remain hopeful and ask for help."
S005,3.9,4.5,4.3,4.1,"I was proud of how I balanced coursework and felt motivated to push further."
S006,2.5,2.4,2.5,2.7,"I felt discouraged and lonely most of the semester and avoided group projects."
S007,3.6,3.9,3.7,3.8,"I was curious about the material and felt calm during most of my exams."
S008,3.0,3.1,3.0,3.2,"Some days I felt anxious but I learned to take breaks and stay grounded."
S009,3.7,4.0,3.9,4.0,"I felt confident leading discussions and grateful for supportive classmates."
S010,2.8,2.9,2.7,2.8,"I was frustrated with my time management and ashamed of missing deadlines."
S011,3.4,3.5,3.4,3.5,"I tried to remain hopeful and motivated even when assignments felt overwhelming."
S012,3.9,4.3,4.2,4.1,"I felt proud of small wins and stayed curious about new topics every week."
S013,2.7,2.6,2.5,2.8,"I felt lonely and discouraged especially during group work and remote classes."
S014,3.3,3.4,3.2,3.3,"I felt anxious before presentations but practiced breathing and felt calmer."
S015,3.8,4.1,4.0,3.9,"I felt grateful and motivated when I got constructive feedback from professors."
S016,3.0,3.0,2.9,3.0,"There were frustrating moments but I tried to stay hopeful and ask questions."
S017,3.5,3.7,3.6,3.6,"I felt confident and curious during labs and proud of the final project."
S018,2.6,2.5,2.4,2.6,"I felt overwhelmed and discouraged and skipped office hours when I needed them."
S019,3.6,3.8,3.7,3.7,"I felt calm and motivated in seminars and grateful for thoughtful peers."
S020,3.2,3.3,3.1,3.2,"I felt anxious about deadlines but stayed hopeful and made it through."
S021,3.9,4.4,4.2,4.0,"I felt proud and curious throughout and motivated to take harder electives."
S022,2.8,2.7,2.6,2.9,"I felt frustrated and lonely and struggled to focus on long readings."
S023,3.4,3.5,3.4,3.5,"I felt hopeful and grateful for tutoring resources during a tough quarter."
S024,3.7,4.0,3.8,3.9,"I felt confident and calm in exams thanks to consistent study routines."
S025,3.0,3.1,3.0,3.0,"I felt anxious and overwhelmed but motivated to keep showing up each day."
S026,3.8,4.2,4.1,4.0,"I felt curious and proud and motivated to mentor first-year students."
S027,2.7,2.6,2.5,2.7,"I felt discouraged and ashamed when I fell behind on assignments."
S028,3.5,3.6,3.5,3.6,"I felt hopeful and grateful when professors offered flexible deadlines."
S029,3.6,3.9,3.8,3.7,"I felt confident in study groups and proud of my growth in writing."
S030,3.1,3.2,3.0,3.1,"I felt anxious about a heavy load but calm once I made a weekly plan."
